index,topics
PLAIN-1,"['acrylamide', 'beans', 'breast cancer', 'cabbage', 'cancer', 'cancer survival', 'carcinogens', 'chicken', 'children', 'cooking methods', 'doughnuts', 'endometrial cancer', 'endometrial health', 'esophageal cancer', 'esophageal health', 'Europe', 'fish', 'french fries', 'frying', 'greens', 'heterocyclic amines', 'industry influence', 'inflammation', 'kidney cancer', 'legumes', 'lung cancer', ""men's health"", 'oils', 'oral cancer', 'ovarian cancer', 'pancreatic cancer', 'polycyclic aromatic hydrocarbons', 'potato chips', 'poultry', 'prostate cancer', 'sweet potatoes', 'throat cancer', 'turkey', 'vitamin C', ""women's health""]"
PLAIN-2,"['breast cancer', 'cancer', 'cancer survival', 'cardiovascular disease', 'cardiovascular health', 'cholesterol', 'estrogen', 'heart disease', 'heart health', 'LDL cholesterol', 'nuts', 'phytosterols', 'plant-based diets', 'plasma membrane', 'pumpkin seeds', 'seeds', 'side effects', 'statins', 'vegans', 'vegetarians', ""women's health""]"
PLAIN-3,"['body fat', 'breast cancer', 'breast cancer survival', 'breast health', 'broccoli', 'cancer', 'cancer survival', 'cholesterol', 'fat', 'flax seeds', 'Germany', 'LDL cholesterol', 'lignans', 'low-fat diets', 'phytosterols', 'pumpkin seeds', 'seeds', 'soy', 'sunflower seeds', ""women's health""]"
PLAIN-4,"['asthma', 'blood pressure', 'caloric restriction', 'cancer', 'carcinogens', 'cholesterol', 'eczema', 'kidney disease', 'kidney function', 'kidney health', 'LDL cholesterol', 'lung disease', 'lung health', 'placebo effect', 'plant-based diets', 'side effects', 'smoking', 'steroids', 'Sweden', 'vegans', 'vegetarians', 'weight loss']"
PLAIN-5,"['allergies', 'antioxidants', 'apples', 'asthma', 'beans', 'berries', 'broccoli', 'children', 'citrus', 'flax seeds', 'fruit', 'grapes', ""Harvard Nurses' Health Study"", 'herbs', 'inflammation', 'Japan', 'lung disease', 'lung health', 'nuts', 'oxidative stress', 'phytonutrients', 'polyphenols', 'protein', 'respiratory infections', 'salads', 'soy', 'sugar', 'supplements', 'tea', 'tomatoes', 'vegetables', 'vitamin C', 'vitamin E']"
PLAIN-6,"['allergies', 'alpha-carotene', 'animal products', 'antioxidants', 'asthma', 'beta carotene', 'chicken', 'cholesterol', 'cryptoxanthin', 'eczema', 'eggs', 'fruit', 'grains', 'lung disease', 'lung health', 'lutein', 'lycopene', 'oxidative stress', 'peas', 'phytonutrients', 'plant-based diets', 'Standard American Diet', 'vegans', 'vegetables', 'vegetarians']"
PLAIN-7,"['air pollution', 'allergies', 'animal protein', 'antibiotics', 'antioxidants', 'asthma', 'biomagnification', 'breastfeeding', 'calories', 'children', 'chronic diseases', 'dairy', 'eczema', 'eggs', 'elderly', 'endocrine disruptors', 'fermented foods', 'fruit', 'immune function', 'India', 'industrial toxins', 'inflammation', 'lung disease', 'lung health', 'meat', 'organic foods', 'oxidative stress', 'persistent organic pollutants', 'plant protein', 'plant-based diets', 'probiotics', 'protein', 'respiratory infections', 'saturated fat', 'smoking', 'soda', 'soy', 'vegans', 'vegetables', 'vegetarians', 'vitamin C']"
PLAIN-8,"['American Egg Board', 'animal products', 'beans', 'chicken', 'Coca Cola', 'corn', 'corn syrup', 'cost savings', 'dairy eggs', 'empty calories', 'factory farming practices', 'Farm Bill', 'farmers', 'feed additives', 'fish', 'fruit', 'grains', 'industry influence', 'marketing', 'meat', 'Medicare', 'milk', ""National Cattlemen's Beef Association"", 'National Dairy Council', 'National Pork Producers Council', 'pork', 'poultry', 'seafood', 'soda', 'soy', 'Standard American Diet', 'subsidies', 'sugar', 'tobacco', 'turkey', 'vegetables']"
PLAIN-9,"['apple juice', 'arsenic', 'brown rice syrup', 'cancer', 'carcinogens', 'Center for Food Safety', 'chicken', 'cooking methods', 'FDA', 'food additives', 'industrial toxins', 'Johns Hopkins University', 'lead', 'liver', 'meat', 'organic foods', 'parasites', 'persistent organic pollutants', 'pesticides', 'pork', 'poultry', 'rice', 'safety limits', 'turkey']"
PLAIN-10,"['animal fat', 'animal products', 'arsenic', 'asthma', 'biomagnification', 'birth defects', 'breastfeeding', 'California', 'cancer', 'chicken', 'children', 'dairy', 'DDT', 'dieldrin', 'dioxins', 'ear health', 'endocrine disruptors', 'Europe', 'fish', 'heavy metals', 'immune function', 'immunosuppressive drugs', 'industrial toxins', 'lactation', 'lead', 'meat', ""men's health"", 'mercury', 'persistent organic pollutants', 'pesticides', 'plant-based diets', 'poultry', 'respiratory infections', 'seafood', 'sore throat', 'throat health', 'tuna', 'turkey', 'vegans', 'vegetarians', ""women's health""]"
PLAIN-11,"['Adventist Health Studies', 'aging', 'animal products', 'animal protein', 'apples', 'beans', 'cabbage', 'California', 'caloric restriction', 'chicken', 'China Study', 'cholesterol', 'dairy', 'Dr. T. Colin Campbell', 'eggs', 'enzymes', 'fish', 'fruit', 'grains', 'IGF-1', 'Japan', 'LDL cholesterol', 'leucine', 'lifespan', 'longevity', 'meat', 'mood', 'mortality', 'plant protein', 'plant-based diets', 'poultry', 'protein', 'rapamycin', 'side effects', 'Standard American Diet', 'TOR', 'turkey', 'vegans', 'vegetables', 'vegetarians']"
PLAIN-12,"['aging', 'autophagy', 'blood pressure', 'bone health', 'caloric restriction', 'calories', 'depression', 'Easter Island', 'elderly', 'enzymes', 'evolution', 'infertility', 'lifespan', 'longevity', 'mitochondria', 'mood', 'morbidity', 'mortality', 'muscle strength', 'oxidative stress', 'rapamycin', 'reproductive health', 'sexual health', 'TOR', 'wound healing']"
PLAIN-14,"['Albert Einstein', 'Atkins diet', 'blood type diet', 'doughnuts', 'exercise', 'fat', 'fruit', 'meat', 'Norway', 'nutrition myths', 'rheumatoid arthritis', 'smoking', 'sugar', 'vegetables']"
